GENERIC NAME,BRAND NAME
BISMUTH SUBSALICYLATE 262 MG TAB,PEPTO BISMOL
BISMUTH SUBSALICYLATE SUSP 88 MG/5 ML 230 ML BTL,PEPTO-BISMOL
BISOPROLOL 10 MG TAB,MONOCOR
BISOPROLOL 5 MG TAB,MONOCOR
BLEOMYCIN 15 UNITS/6 ML VIAL,BLENOXANE
BORTEZOMIB INJ 1 MG/ML 3.5 ML VIAL,VELCADE
BOVINE LIPID EXTRACT 27 MG/ML 3 ML VIAL,BLES
BOVINE LIPID EXTRACT 27 MG/ML 5 ML VIAL,BLES
BRILLIANT GREEN 25 GM TOPICAL CRYSTAL,
BRIMONIDINE 0.15% EYE DROPS 5 ML BTL,ALPHAGAN
BRIMONIDINE 0.2% EYE DROPS 10 ML BTL,ALPHAGAN
BRIMONIDINE 0.2% EYE DROPS 5 ML BTL,ALPHAGAN
BRINZOLAMIDE 1% EYE DROPS 5 ML BTL,AZOPT
BROMOCRIPTINE 2.5 MG TAB,PARLODEL
BROMOCRIPTINE 5 MG CAP,PARLODEL
BUDESONIDE 100 MCG/PUFF 200 DOSE TURBUHALER,PULMICORT-100
BUDESONIDE 200 MCG/PUFF 100 DOSE TURBUHALER,PULMICORT-200
BUDESONIDE 200 MCG/PUFF 200 DOSE TURBUHALER,PULMICORT-200
BUDESONIDE 400 MCG/PUFF 200 DOSE TURBUHALER,PULMICORT-400
BUDESONIDE INH.SUSP 0.125 MG/ML 2 ML NEBULE,PULMICORT
BUDESONIDE INH.SUSP 0.25 MG/ML 2 ML NEBULE,PULMICORT
BUDESONIDE INH.SUSP 0.5 MG/ML 2 ML NEBULE,PULMICORT
BUDESONIDE SR 3 MG CAP,ENTOCORT
BUDESONIDE+FORMOTEROL 100/6 MCG/PUFF 120 DOSE TURBUHALE,SYMBICORT 100 TURBUHALER
BUDESONIDE+FORMOTEROL 200/6 MCG/PUFF 60/120 DOSE TURBUH,SYMBICORT 200 TURBUHALER
BUMETANIDE 1 MG TAB,BURINEX
BUMETANIDE 2 MG TAB,BURINEX
BUMETANIDE 5 MG TAB,BURINEX
BUPIV 0.08%+FENTANYL 2mcg/mL+EPIN. EPID 250 ML BAG,
BUPIV 0.08%+MORPHINE 0.05 MG/ML+EPIN. EPID 250 ML BAG,
BUPIVACAINE 0.05%+HYDROMORPHONE 20 MCG/ML EPID 250 ML B,
BUPIVACAINE 0.0625%+FENTANYL 2 MCG/ML EPID 100 ML BAG,
BUPIVACAINE 0.0625%+FENTANYL 2 MCG/ML EPID 250 ML BAG,
BUPIVACAINE 0.0625%+HYDROMORPHONE 20 MCG/ML EPID 250 ML,
BUPIVACAINE 0.08%+FENTANYL 2 MCG/ML EPID 250 ML BAG,
BUPIVACAINE 0.08%+HYDROMORPHONE 20 MCG/ML EPID 250 ML B,
BUPIVACAINE 0.08%+MORPHINE 50 MCG/ML EPID 250 ML BAG,
BUPIVACAINE 0.1%+FENTANYL 2 MCG/ML EPID 100 ML BAG,
BUPIVACAINE 0.1%+FENTANYL 2 MCG/ML EPID 250 ML BAG,
BUPIVACAINE 0.1%+FENTANYL 4 MCG/ML EPID 250 ML BAG,
BUPIVACAINE 0.1%+FENTANYL 5 MCG/ML EPID 250 ML BAG,
BUPIVACAINE 0.1%+HYDROMORPHONE 2 MCG/ML EPID 250 ML BAG,
BUPIVACAINE 0.1%+HYDROMORPHONE 20 MCG/ML EPID 250 ML BA,
BUPIVACAINE 0.1%+MORPHINE 50 MCG/ML EPID 250 ML BAG,
BUPIVACAINE 0.104% in NS EPID 240 ML BAG,
BUPIVACAINE 0.125% in NS EPID 100 ML BAG,
BUPIVACAINE 0.125%+FENTANYL 2 MCG/ML EPID 100 ML BAG,
BUPIVACAINE 0.125%+FENTANYL 2 MCG/ML EPID 250 ML BAG,
BUPIVACAINE 0.25% INJ 10 ML VIAL,SENSORCAINE 0.25% VIAL
BUPIVACAINE 0.25% INJ 20 ML VIAL,MARCAINE
BUPIVACAINE 0.25% INJ 50 ML VIAL,MARCAINE 2.5MG/ML VIAL
BUPIVACAINE 0.25%+EPINEPHRINE INJ 20 ML VIAL,SENSORCAINE/EPINEPHRINE
BUPIVACAINE 0.5% INJ 10 ML VIAL,SENSORCAINE
BUPIVACAINE 0.5% INJ 20 ML VIAL,MARCAINE
BUPIVACAINE 0.5% INJ 50 ML VIAL,MARCAINE 5MG/ML VIAL
BUPIVACAINE 0.5%+EPINEPHRINE 1.8 ML CARPULE,MARCAINE 0.5%/EPI 1:200000
